num_blocks,trial,time_ms,throughput
1,1,1.115808,390748.22
1,2,0.811008,537602.62
1,3,0.761856,572286.62
1,4,0.739168,589852.38
1,5,0.765728,569392.81
1,6,0.758784,574603.56
1,7,0.755136,577379.44
1,8,0.746912,583736.81
1,9,0.739264,589775.75
1,10,0.737280,591362.88
1,avg,0.793094,557674.12
2,1,0.738976,1180011.25
2,2,0.750176,1162393.88
2,3,0.737280,1182725.75
2,4,0.738560,1180675.88
2,5,0.732704,1190112.25
2,6,0.741376,1176191.38
2,7,0.747520,1166524.00
2,8,0.736832,1183444.75
2,9,0.740864,1177004.25
2,10,0.739904,1178531.25
2,avg,0.740419,1177761.38
4,1,0.749536,2326773.00
4,2,0.864736,2016800.38
4,3,0.812256,2147106.50
4,4,0.743744,2344892.75
4,5,0.749568,2326673.50
4,6,0.775904,2247700.75
4,7,0.768448,2269509.50
4,8,0.753696,2313930.25
4,9,0.739328,2358898.75
4,10,0.737280,2365451.50
4,avg,0.769450,2271773.50
8,1,0.740864,4708017.00
8,2,0.748448,4660310.50
8,3,0.746336,4673498.00
8,4,0.743680,4690189.50
8,5,0.747168,4668294.00
8,6,0.743424,4691804.50
8,7,0.750944,4644820.50
8,8,0.749984,4650766.00
8,9,0.737280,4730903.00
8,10,0.739328,4717797.50
8,avg,0.744746,4683640.00
16,1,0.737984,9452779.00
16,2,0.774144,9011243.00
16,3,0.867648,8040127.00
16,4,0.759744,9182041.00
16,5,0.761856,9156586.00
16,6,0.744384,9371507.00
16,7,0.769760,9062565.00
16,8,0.745984,9351407.00
16,9,0.755872,9229076.00
16,10,0.735456,9485272.00
16,avg,0.765283,9134260.00
32,1,0.731136,19082632.00
32,2,0.725248,19237558.00
32,3,0.727456,19179168.00
32,4,0.747520,18664384.00
32,5,0.728896,19141276.00
32,6,0.736768,18936762.00
32,7,0.738976,18880180.00
32,8,0.743936,18754302.00
32,9,0.734336,18999476.00
32,10,0.735136,18978802.00
32,avg,0.734941,18985454.00
